Restaurant ID,Restaurant name,Subzone,City,Overview,Metric,"09 Jun, 2026","10 Jun, 2026","11 Jun, 2026","12 Jun, 2026","13 Jun, 2026","14 Jun, 2026","15 Jun, 2026"
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer funnel,Menu to cart (%),16.7,27.8,20,20.4,0,18.2,7.7
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer funnel,Cart builds,7,10,9,11,0,8,4
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer funnel,Cart to orders (%),57.1,60,55.6,45.5,0,37.5,75
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer funnel,Placed Orders,4,6,5,5,0,3,3
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer segmentation,New user orders,3,4,3,2,0,2,3
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer segmentation,Repeat user orders,0,2,1,1,0,1,0
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer segmentation,Lapsed user orders,1,0,1,2,0,0,0
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer segmentation,Breakfast orders,0,0,0,0,0,0,0
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer segmentation,Lunch orders,3,6,4,2,0,2,3
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer segmentation,Snacks orders,0,0,0,0,0,0,0
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer segmentation,Dinner orders,1,0,1,3,0,1,0
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Customer segmentation,Late night orders,0,0,0,0,0,0,0
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Ads,Sales from ads (Rs),624,2303.5,1747.5,817,0,2094.5,1636
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Ads,Ads CTR (%),4.4,5.6,4.9,5.6,0,4.1,5.7
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Ads,Ads impressions,659,502,674,708,0,870,720
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Ads,Ads menu opens,29,28,33,40,0,36,41
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Ads,Ads orders,2,5,5,3,0,2,3
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Ads,Ads spend (Rs),154.00001525878906,154.00001525878906,154.00001525878906,154.00001525878906,0,1297.3983306884766,493.3390350341797
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Ads,Ads ROI,5.402596867291649,20.168829170442145,14.305193387792674,8.285713464740558,0,1.9176839842854734,4.110763300656911
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Offers,Orders with offers,1465,1874.5,924.5,1681,0,2883.73,1636
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Offers,Gross sales from offers (Rs),4,4,3,4,0,3,3
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Offers,Discount given (Rs),606,802.5,455.5,519,0,653,392
20709465,GGB - Green Grain Bowl,Porvorim,Goa,Offers,Effective discount (%),41.36518771331058,42.81141637770072,49.26987560843699,30.87447947650208,0,22.644283772153138,23.96088019559902
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Sales,Delivered orders,0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Sales,Sales (Rs),0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Sales,Market share (%),0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,Average rating,0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,Rated orders,0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,Bad orders,0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,Rejected orders,0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,KPT+10 delayed orders,0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,Poor rated orders,0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,Total complaints,0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,Non-refunded complaints,0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,Total complaints - Poor packaging,0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,Total complaints - Poor quality,0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,Total complaints - Wrong order,0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,Total complaints - Missing items,0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,Self logs other ors,0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,Lost sales (Rs),0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,Online %,0,0,0,0,0,0,0
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,Offline time (in hours),11,11,11,11,11,11,11
22213860,Ustaad Beliram Mutton Wale,Model Town 1,Delhi NCR,Customer experience,KPT (in minutes),0,0,0,0,0,0,0
