Restaurant ID,Restaurant name,Subzone,City,Overview,Metric,"Week 20, 2026","Week 21, 2026","Week 22, 2026","Week 23, 2026"
22687388,House Of Dalchini,"Varthur Main Road, Whitefield",Bengaluru,Offers,Effective discount (%),23.948811700182816,16.6003272190206,21.218879351774916,19.96860094783037
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Sales,Delivered orders,3,3,8,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Sales,Sales (Rs),1126,1463.6999969482422,1903,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Sales,Market share (%),0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,Average rating,0,0,2.4286570889609203,3.5002714225224087
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,Rated orders,1,0,2,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,Bad orders,3,1,2,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,Rejected orders,1,1,1,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,KPT+10 delayed orders,2,0,1,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,Poor rated orders,0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,Total complaints,0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,Non-refunded complaints,0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,Total complaints - Poor packaging,0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,Total complaints - Poor quality,0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,Total complaints - Wrong order,0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,Total complaints - Missing items,0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,Self logs other ors,0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,Lost sales (Rs),316.5,186,363,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,Online %,96.05,72.96,84.43,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,Offline time (in hours),4,31,18,2
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,KPT (in minutes),28.045,26.7933,27.1938,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer experience,FOR accuracy (%),0,25,55.6,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer funnel,Impressions,4418,3854,3976,831
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer funnel,Impressions to menu (%),4.3,3.8,3.5,1
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer funnel,Menu opens,192,146,139,8
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer funnel,Menu to cart (%),17.7,17.1,21.6,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer funnel,Cart builds,34,25,30,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer funnel,Cart to orders (%),11.8,16,30,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer funnel,Placed Orders,4,4,9,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer segmentation,New user orders,4,4,9,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer segmentation,Repeat user orders,0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer segmentation,Lapsed user orders,0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer segmentation,Breakfast orders,0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer segmentation,Lunch orders,2,1,5,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer segmentation,Snacks orders,0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer segmentation,Dinner orders,1,0,2,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Customer segmentation,Late night orders,1,3,2,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Ads,Sales from ads (Rs),0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Ads,Ads CTR (%),0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Ads,Ads impressions,0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Ads,Ads menu opens,0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Ads,Ads orders,0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Ads,Ads spend (Rs),0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Ads,Ads ROI,0,0,0,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Offers,Orders with offers,1224.5,1649.7,2266,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Offers,Gross sales from offers (Rs),3,4,9,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Offers,Discount given (Rs),426.5,1171.3000030517578,2201,0
22689725,Bikaner Restraunt,Patrakar Puram,Lucknow,Offers,Effective discount (%),34.83054307880768,71.00079030854776,97.1315092674316,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Sales,Delivered orders,1,1,2,1
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Sales,Sales (Rs),365,510,1190,607.5
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Sales,Market share (%),0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Average rating,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Rated orders,1,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Bad orders,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Rejected orders,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,KPT+10 delayed orders,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Poor rated orders,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Total complaints,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Non-refunded complaints,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Total complaints - Poor packaging,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Total complaints - Poor quality,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Total complaints - Wrong order,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Total complaints - Missing items,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Self logs other ors,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Lost sales (Rs),0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Online %,65.77,65.49,65.16,72.6
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,Offline time (in hours),23,31,31,24
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,KPT (in minutes),15.18,22,20.73,38.42
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer experience,FOR accuracy (%),100,100,100,100
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer funnel,Impressions,148,581,1038,1483
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer funnel,Impressions to menu (%),3.4,4.3,4.8,4.7
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer funnel,Menu opens,5,25,50,69
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer funnel,Menu to cart (%),40,12,16,13
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer funnel,Cart builds,2,3,8,9
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer funnel,Cart to orders (%),50,33.3,25,11.1
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer funnel,Placed Orders,1,1,2,1
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer segmentation,New user orders,1,1,2,1
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer segmentation,Repeat user orders,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer segmentation,Lapsed user orders,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer segmentation,Breakfast orders,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer segmentation,Lunch orders,1,0,1,1
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer segmentation,Snacks orders,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer segmentation,Dinner orders,0,1,1,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Customer segmentation,Late night orders,0,0,0,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Ads,Sales from ads (Rs),0,510,1190,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Ads,Ads CTR (%),0,5.1,5,5
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Ads,Ads impressions,0,256,763,1202
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Ads,Ads menu opens,0,13,38,60
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Ads,Ads orders,0,1,2,0
22709148,GGB - Green Grain Bowl,CBD-Belapur,Mumbai,Ads,Ads spend (Rs),0,208,608.0000076293945,390.00001525878906
