Restaurant ID,Restaurant name,Subzone,City,Overview,Metric,Mar 2026,Apr 2026,May 2026
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer funnel,Impressions to menu (%),9,8.7,8.6
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer funnel,Menu opens,11477,10126,12663
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer funnel,Menu to cart (%),44.5,42.8,42.1
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer funnel,Cart builds,5109,4337,5328
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer funnel,Cart to orders (%),33.3,33.5,34.2
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer funnel,Placed Orders,1702,1454,1823
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer segmentation,New user orders,651,514,686
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer segmentation,Repeat user orders,687,594,752
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer segmentation,Lapsed user orders,364,346,385
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer segmentation,Breakfast orders,39,19,36
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer segmentation,Lunch orders,598,548,668
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer segmentation,Snacks orders,84,84,120
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer segmentation,Dinner orders,931,785,953
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Customer segmentation,Late night orders,50,18,46
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Ads,Sales from ads (Rs),493672.29,428729.5799999999,492808.88200000004
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Ads,Ads CTR (%),11.3,10.7,10.4
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Ads,Ads impressions,86314,79699,102844
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Ads,Ads menu opens,9735,8502,10705
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Ads,Ads orders,1505,1281,1591
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Ads,Ads spend (Rs),54266.50210857391,51756.502457141876,54879.00252532959
20426801,Chickpet Donne Biryani House,Tumkur Locality,Tumkur,Ads,Ads ROI,10.820898660929585,10.009374965570423,10.995840161662555
